category;uf;volume
Ciclo Diesel;AM;554,78
Ciclo Diesel;BA;285,024
Ciclo Diesel;CE;97,872
Ciclo Diesel;GO;12,21
Ciclo Diesel;MG;26196,167
Ciclo Diesel;PR;1637,188
Ciclo Diesel;RJ;266006,596
Ciclo Diesel;RS;34,43
Ciclo Diesel;SP;7575,438
Ciclo Otto;AM;469,143
Ciclo Otto;BA;951,48
Ciclo Otto;CE;178,414
Ciclo Otto;GO;1,297
Ciclo Otto;MG;42352,05
Ciclo Otto;PA;0,0
Ciclo Otto;PR;5389,909
Ciclo Otto;RJ;269293,187
Ciclo Otto;RS;41,716
Ciclo Otto;SP;36357,241
Engrenagens e Sistemas Circulatórios;AM;17,5
Engrenagens e Sistemas Circulatórios;BA;183,148
Engrenagens e Sistemas Circulatórios;CE;42,976
Engrenagens e Sistemas Circulatórios;GO;0,609
Engrenagens e Sistemas Circulatórios;MG;535,007
Engrenagens e Sistemas Circulatórios;PR;67,814
Engrenagens e Sistemas Circulatórios;RJ;33569,066
Engrenagens e Sistemas Circulatórios;RS;2735,476
Engrenagens e Sistemas Circulatórios;SP;7942,358
Isolante Tipo A;MG;11,744
Isolante Tipo A;RJ;8883,374
Isolante Tipo A;SP;6,34
Isolante Tipo B;SP;729,9
Óleos Lubrificantes Marítimos;RJ;28571,307
Óleos Lubrificantes Marítimos;SP;649,366
Óleos Lubrificantes Ferroviários;RJ;14497,538
Motores 2 tempos;AM;14,076
Motores 2 tempos;BA;2,028
Motores 2 tempos;CE;2,667
Motores 2 tempos;MG;145,667
Motores 2 tempos;PR;98,25
Motores 2 tempos;RJ;11521,631
Motores 2 tempos;RS;7,591
Motores 2 tempos;SP;671,924
Transmissões e Sistemas Hidráulicos;AM;475,44
Transmissões e Sistemas Hidráulicos;BA;507,202
Transmissões e Sistemas Hidráulicos;CE;105,834
Transmissões e Sistemas Hidráulicos;GO;9,988
Transmissões e Sistemas Hidráulicos;MG;37921,404
Transmissões e Sistemas Hidráulicos;PR;4606,078
Transmissões e Sistemas Hidráulicos;RJ;204744,524
Transmissões e Sistemas Hidráulicos;RS;471,858
Transmissões e Sistemas Hidráulicos;SP;24657,809
Outros Óleos Lubrificantes Acabados;BA;21,704
Outros Óleos Lubrificantes Acabados;CE;26,561
Outros Óleos Lubrificantes Acabados;MG;30837,048
Outros Óleos Lubrificantes Acabados;PR;1855,532
Outros Óleos Lubrificantes Acabados;RJ;59840,272
Outros Óleos Lubrificantes Acabados;RS;1554,714
Outros Óleos Lubrificantes Acabados;SP;29164,712
Óleos Lubrificantes para Aviação;GO;0,24
